Variable,Description
Q68_1,Feeling on how quickly received care or advice when contacted NHS services when wanted to see GP but GP practice was closed - It was about right
Q68_2,Feeling on how quickly received care or advice when contacted NHS services when wanted to see GP but GP practice was closed - It took too long
Q68_3,Feeling on how quickly received care or advice when contacted NHS services when wanted to see GP but GP practice was closed - Don't know / doesn't apply
q70base,Overall experience of NHS services when GP practice was closed - Total responses
Q70_12345base,Overall experience of NHS services when GP practice was closed - Base for summary result - Total responses excluding 'don't know / can't say'
Q70_1,Overall experience of NHS services when GP practice was closed - Very good
Q70_2,Overall experience of NHS services when GP practice was closed - Fairly good
Q70_3,Overall experience of NHS services when GP practice was closed - Neither good nor poor
Q70_4,Overall experience of NHS services when GP practice was closed - Fairly poor
Q70_5,Overall experience of NHS services when GP practice was closed - Very poor
Q70_6,Overall experience of NHS services when GP practice was closed - Don't know / can't say
q70_12,"Overall experience of NHS services when GP practice was closed - Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with base excluding 'don't know / can't say')"
q42base,Last tried to get an NHS dental appointment for themselves - Total responses
q42_1,Last tried to get an NHS dental appointment for themselves -  In the last 3 months
q42_2,Last tried to get an NHS dental appointment for themselves - Between 3 and 6 months ago
q42_3,Last tried to get an NHS dental appointment for themselves - Between 6 months and a year ago
q42_4,Last tried to get an NHS dental appointment for themselves - Between 1 and 2 years ago
q42_5,Last tried to get an NHS dental appointment for themselves - More than 2 years ago
q42_6,Last tried to get an NHS dental appointment for themselves - I have never tried to get an NHS dental appointment
q43base,Appointment with dental practice had been to before for NHS dental care - Total responses
q43_12base,Appointment with dental practice had been to before for NHS dental care - Total responses excluding 'can't remember'
q43_1,Appointment with dental practice had been to before for NHS dental care - Yes
q43_2,Appointment with dental practice had been to before for NHS dental care - No
q43_3,Appointment with dental practice had been to before for NHS dental care - Can't remember
q44base,Successful in getting an NHS dental appointment - Total responses
q44_12base,Successful in getting an NHS dental appointment - Total responses excluding 'can't remember'
q44_1,Successful in getting an NHS dental appointment - Yes
q44_2,Successful in getting an NHS dental appointment - No
q44_3,Successful in getting an NHS dental appointment - Can't remember
q45base,Overall experience of NHS dental services - Total responses
q45_1,Overall experience of NHS dental services - Very good
q45_2,Overall experience of NHS dental services - Fairly good
q45_3,Overall experience of NHS dental services - Neither good nor poor
q45_4,Overall experience of NHS dental services - Fairly poor
q45_5,Overall experience of NHS dental services - Very poor
q46base,Reason haven’t tried to get an NHS dental appointment in last two years - Total responses
q46_1,Reason haven’t tried to get an NHS dental appointment in last two years - I haven't needed to visit a dentist
q46_2,Reason haven’t tried to get an NHS dental appointment in last two years - I no longer have any natural teeth
q46_3,Reason haven’t tried to get an NHS dental appointment in last two years - I haven't had time to visit a dentist
q46_4,Reason haven’t tried to get an NHS dental appointment in last two years - I don't like going to the dentist
q46_5,Reason haven’t tried to get an NHS dental appointment in last two years - I didn't think I could get an NHS dentist
q46_6,Reason haven’t tried to get an NHS dental appointment in last two years - I'm on a waiting list for an NHS dentist
q46_7,Reason haven’t tried to get an NHS dental appointment in last two years - I stayed with my dentist when they changed from NHS to private
q46_8,Reason haven’t tried to get an NHS dental appointment in last two years - I prefer to go to a private dentist
q46_9,Reason haven’t tried to get an NHS dental appointment in last two years - NHS dental care is too expensive
q46_10,Reason haven’t tried to get an NHS dental appointment in last two years - Another reason
Q110base,"In last 12 months, have you or household member shielded at home due to being vulnerable to COVID-19 because of pre-existing health issues - Total responses"
Q110_1,"In last 12 months, have you or household member shielded at home due to being vulnerable to COVID-19 because of pre-existing health issues - Yes, I have shielded"
Q110_2,"In last 12 months, have you or household member shielded at home due to being vulnerable to COVID-19 because of pre-existing health issues - Yes, someone else in my household has shielded"
Q110_3,"In last 12 months, have you or household member shielded at home due to being vulnerable to COVID-19 because of pre-existing health issues - No"
Q110_12,"In last 12 months, have you or household member shielded at home due to being vulnerable to COVID-19 because of pre-existing health issues - Summary result - Yes (Combined 'yes, I have shielded' and 'yes, someone else in my household'), to be used with total base"
Q111base,Avoided making a general practice appointment in last 12 months - Total responses
Q111_123456base,Avoided making a general practice appointment in last 12 months - Total responses excluding 'I haven’t needed an appointment'
Q111_1,"Avoided making a general practice appointment in last 12 months - Yes, because I didn’t have time"
Q111_2,"Avoided making a general practice appointment in last 12 months - Yes, because I was worried about the risk of catching COVID-19"
Q111_3,"Avoided making a general practice appointment in last 12 months - Yes, because I was worried about the burden on the NHS"
Q111_4,"Avoided making a general practice appointment in last 12 months - Yes, because I found it too difficult"
Q111_5,"Avoided making a general practice appointment in last 12 months - Yes, for another reason"
Q111_6,Avoided making a general practice appointment in last 12 months - No
Q111_7,Avoided making a general practice appointment in last 12 months - I haven’t needed an appointment
Q111_12345,"Avoided making a general practice appointment in last 12 months - Summary result - Yes (Combined 'yes' variables - codes 1, 2, 3, 4 and 5 to be used with base excluding 'I haven't needed an appointment')"
Q112base,Which of the following best describes you - Total responses
Q112_1,Which of the following best describes you - Female
Q112_2,Which of the following best describes you - Male
Q112_3,Which of the following best describes you - Non-binary
Q112_4,Which of the following best describes you - Prefer to self-describe
Q112_5,Which of the following best describes you - Prefer not to say
Q113base,Is your gender identity the same as the sex you were registered at birth - Total responses
Q113_1,Is your gender identity the same as the sex you were registered at birth - Yes
Q113_2,Is your gender identity the same as the sex you were registered at birth - No
Q113_3,Is your gender identity the same as the sex you were registered at birth - Prefer not to say
q49base,Ethnic group - Total responses
q49_1,Ethnic group - White - English/Welsh/Scottish/Northern Irish/British
q49_2,Ethnic group - White - Irish
q49_3,Ethnic group - White - Gypsy or Irish Traveller
q49_19,Ethnic group - White - Roma
q49_4,Ethnic group - White - Any other White background
q49_5,Ethnic group - Mixed - White and Black Caribbean
q49_6,Ethnic group - Mixed - White and Black African
q49_7,Ethnic group - Mixed - White and Asian
q49_8,Ethnic group - Mixed - Any other Mixed/Multiple Ethnic background
q49_9,Ethnic group - Asian/Asian British - Indian
q49_10,Ethnic group - Asian/Asian British - Pakistani
q49_11,Ethnic group - Asian/Asian British - Bangladeshi
q49_12,Ethnic group - Asian/Asian British - Chinese
q49_13,Ethnic group - Asian/Asian British - Any other Asian background
q49_15,Ethnic group - Black/African/Caribbean/Black British - Caribbean
q49_14,Ethnic group - Black/African/Caribbean/Black British - African
q49_16,Ethnic group - Black/African/Caribbean/Black British - Any other Black/African/Caribbean background
q49_17,Ethnic group - Other - Arab
q49_18,Ethnic group - Other - Any other ethnic group
q49band_1,Ethnic group banded - White
q49band_2,Ethnic group banded - Mixed / multiple ethnic groups
q49band_3,Ethnic group banded - Asian / Asian British
q49band_4,Ethnic group banded - Black / African / Caribbean / Black British
q49band_5,Ethnic group banded - Other ethnic group
Q48_Mergedbase,Age - Total responses
Q48_Merged_1,Age - Under 16
Q48_Merged_2,Age - 16 to 24
Q48_Merged_3,Age - 25 to 34
Q48_Merged_4,Age - 35 to 44
Q48_Merged_5,Age - 45 to 54
Q48_Merged_6,Age - 55 to 64
Q48_Merged_7,Age - 65 to 74
Q48_Merged_8,Age - 75 to 84
Q48_Merged_9,Age - 85 or over
q50base,Working status - Total responses
q50_1,Working status - In full-time paid work (30 hours or more each week)
q50_2,Working status - In part-time paid work (under 30 hours each week)
q50_3,"Working status - In full-time education at school, college or university"
q50_4,Working status - Unemployed
q50_5,Working status - Permanently sick or disabled
q50_6,Working status - Fully retired from work
q50_7,Working status - Looking after the family or home
q50_8,Working status - Doing something else
q56base,Look after/provide support to family etc. for physical or mental ill health/problems in old age - Total responses
q56_1,Look after/provide support to family etc. for physical or mental ill health/problems in old age - No
q56_2,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 1 to 9 hours a week"
q56_3,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 10 to 19 hours a week"
q56_4,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 20 to 34 hours a week"
q56_5,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 35 to 49 hours a week"
q56_6,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 50 or more hours a week"
q56_23456,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Summary result - Yes (Combined all 'yes' responses, to be used with total base)"
q53base,Parent or legal guardian - Total responses
q53_1,Parent or legal guardian - Yes
q53_2,Parent or legal guardian - No
q54base,Deaf and use sign language - Total responses
q54_1,Deaf and use sign language - Yes
q54_2,Deaf and use sign language - No
q55base,Smoking habits - Total responses
q55_1,Smoking habits - Never smoked
q55_2,Smoking habits - Former smoker
q55_3,Smoking habits - Occasional smoker
q55_4,Smoking habits - Regular smoker
q57base,Sexual orientation - Total responses
q57_1,Sexual orientation - Heterosexual or straight
q57_2,Sexual orientation - Gay / Lesbian
q57_3,Sexual orientation - Bisexual
q57_4,Sexual orientation - Other
q57_5,Sexual orientation - I would prefer not to say
q57_234,"Sexual orientation - Summary result - LGB+ (Combined 'gay or lesbian', 'bisexual' and 'other' responses, to be used with total base)"
q58base,Religion - Total responses
q58_1,Religion - No religion
q58_2,Religion - Buddhist
q58_3,Religion - Christian
q58_4,Religion - Hindu
q58_5,Religion - Jewish
q58_6,Religion - Muslim
q58_7,Religion - Sikh
q58_8,Religion - Other
q58_9,Religion - I would prefer not to say
Q3_1pct,Ease of getting through to someone at GP practice on the phone - % Very easy (base excluding 'haven't tried')
Q3_2pct,Ease of getting through to someone at GP practice on the phone - % Fairly easy (base excluding 'haven't tried')
Q3_3pct,Ease of getting through to someone at GP practice on the phone - % Not very easy (base excluding 'haven't tried')
Q3_4pct,Ease of getting through to someone at GP practice on the phone - % Not at all easy (base excluding 'haven't tried')
Q3_5pct,Ease of getting through to someone at GP practice on the phone - % Haven't tried
Q3_12pct,"Ease of getting through to someone at GP practice on the phone - % Summary result - Easy (Combined 'very easy' and 'fairly easy' responses, to be used with base excluding 'haven't tried')"
Q4_1pct,Helpfulness of receptionists at GP practice - % Very helpful (base excluding 'don't know')
Q4_2pct,Helpfulness of receptionists at GP practice - % Fairly helpful (base excluding 'don't know')
Q4_3pct,Helpfulness of receptionists at GP practice - % Not very helpful (base excluding 'don't know')
Q4_4pct,Helpfulness of receptionists at GP practice - % Not at all helpful (base excluding 'don't know')
Q4_5pct,Helpfulness of receptionists at GP practice - % Don't know
Q4_12pct,"Helpfulness of receptionists at GP practice - % Summary result - Helpful (Combined 'very helpful' and 'fairly helpful' responses, to be used with base excluding 'don't know')"
Q114_1pct,Use of general practice online services in past 12 months - % Booking appointments online
Q114_2pct,Use of general practice online services in past 12 months - % Ordering repeat prescriptions online
Q114_3pct,Use of general practice online services in past 12 months - % Accessing medical records online
Q114_4pct,Use of general practice online services in past 12 months - % Had an online consultation or appointment (for example completed an online form or had a video call)
Q114_5pct,Use of general practice online services in past 12 months - % None of these
Q73_1pct,Ease of using your GP practice's website to look for information or access services - % Very easy (base excluding 'haven't tried')
Q73_2pct,Ease of using your GP practice's website to look for information or access services - % Fairly easy (base excluding 'haven't tried')
Q73_3pct,Ease of using your GP practice's website to look for information or access services - % Not very easy (base excluding 'haven't tried')
Q73_4pct,Ease of using your GP practice's website to look for information or access services - % Not at all easy (base excluding 'haven't tried')
Q73_5pct,Ease of using your GP practice's website to look for information or access services - % Haven't tried
Q73_12pct,"Ease of using your GP practice's website to look for information or access services - % Summary result - Easy (Combined 'very easy' and 'fairly easy', to be used with base excluding 'haven't tried')"
Q74_1pct,Awareness of  general practice appointment times - % Before 8am on at least one weekday
Q74_2pct,Awareness of  general practice appointment times - % Weekdays between 8am and 6.30pm
Q74_3pct,Awareness of  general practice appointment times - % After 6.30pm on a weekday
Q74_4pct,Awareness of  general practice appointment times - % On a Saturday
Q74_5pct,Awareness of  general practice appointment times - % On a Sunday
Q74_6pct,Awareness of  general practice appointment times - % Don't know
Q25_1pct,Satisfaction with general practice appointment times - % Very satisfied (base excluding 'I'm not sure when I can get an appointment')
Q25_2pct,Satisfaction with general practice appointment times - % Fairly satisfied (base excluding 'I'm not sure when I can get an appointment')
Q25_3pct,Satisfaction with general practice appointment times - % Neither satisfied nor dissatisfied (base excluding 'I'm not sure when I can get an appointment')
Q25_4pct,Satisfaction with general practice appointment times - % Fairly dissatisfied (base excluding 'I'm not sure when I can get an appointment')
Q25_5pct,Satisfaction with general practice appointment times  - % Very dissatisfied (base excluding 'I'm not sure when I can get an appointment')
Q25_6pct,Satisfaction with general practice appointment times - % I'm not sure when I can get an appointment
Q25_12pct,"Satisfaction with general practice appointment times  - % Summary result - Satisfied (Combined 'very satisfied' and 'fairly satisfied', to be used with base excluding 'I'm not sure when I can get an appointment')"
Q8_1pct,"Have a preferred GP - % Yes, for all appointments (base excluding 'there is usually only one GP in my GP practice')"
Q8_4pct,"Have a preferred GP - % Yes, for some appointments but not others (base excluding 'there is usually only one GP in my GP practice')"
Q8_2pct,Have a preferred GP - % No (base excluding 'there is usually only one GP in my GP practice')
Q8_3pct,Have a preferred GP - % There is usually only one GP in my GP practice
Q8_14pct,"Have a preferred GP - % Summary result - Yes (Combined 'Yes, for all appointments' and 'Yes, for some appointments but not others' responses, to be used with base excluding 'there is usually only one GP in my GP practice')"
Q9_1pct,Frequency of seeing preferred GP - % Always or almost always (base excluding 'I have not tried')
Q9_2pct,Frequency of seeing preferred GP - % A lot of the time (base excluding 'I have not tried')
Q9_3pct,Frequency of seeing preferred GP - % Some of the time (base excluding 'I have not tried')
Q9_4pct,Frequency of seeing preferred GP - % Never or almost never (base excluding 'I have not tried')
Q9_5pct,Frequency of seeing preferred GP - % I have not tried
Q9_12pct,"Frequency of seeing preferred GP - % Summary result - Always / A lot (combined 'always or almost always' and 'a lot of the time' responses, to be used with base excluding 'I have not tried')"
Q75_1pct,"When last tried to make a general practice appointment, for self or for someone else - % In the past 3 months (base excluding 'don't know')"
Q75_2pct,"When last tried to make a general practice appointment, for self or for someone else - % Between 3 and 6 months ago (base excluding 'don't know')"
Q75_3pct,"When last tried to make a general practice appointment, for self or for someone else - % Between 6 and 12 months ago (base excluding 'don't know')"
Q75_4pct,"When last tried to make a general practice appointment, for self or for someone else - % More than 12 months ago (base excluding 'don't know')"
Q75_5pct,"When last tried to make a general practice appointment, for self or for someone else - % Don't know"
Q75_6pct,"When last tried to make a general practice appointment, for self or for someone else - % I haven't tried to make an appointment since being registered with my current GP practice (base excluding 'don't know')"
Q75_12pct,"When last tried to make a general practice appointment, for self or for someone else - % Summary result - In the past 6 months (Combined 'in the past 3 months' and 'between 3 and 6 months ago', to be used with base excluding 'don't know')"
Q100_1pct,Actions taken before trying to get an appointment - % Used an online NHS service (including NHS 111 online)
Q100_2pct,"Actions taken before trying to get an appointment - % Used a non-NHS online service, or looked online for information"
Q100_3pct,Actions taken before trying to get an appointment - % Spoke to a pharmacist
Q100_4pct,Actions taken before trying to get an appointment - % Tried to treat myself / the person I was making this appointment for (for example with medication)
Q100_5pct,"Actions taken before trying to get an appointment - % Called an NHS helpline, such as NHS 111"
Q100_6pct,Actions taken before trying to get an appointment - % Contacted or used another NHS service
Q100_7pct,Actions taken before trying to get an appointment - % Asked for advice from a friend or family member
Q100_8pct,Actions taken before trying to get an appointment - % Tried to get information or advice elsewhere (from a non-NHS service)
Q100_9pct,Actions taken before trying to get an appointment - % I did not try to get information or advice
Q11_1pct,When would you have liked this appointment to be - % On the same day
Q11_2pct,When would you have liked this appointment to be - % On the next day
Q11_3pct,When would you have liked this appointment to be - % A few days later
Q11_4pct,When would you have liked this appointment to be  - % A week or more later
Q11_5pct,When would you have liked this appointment to be  - % I didn't have a specific day in mind
Q11_6pct,When would you have liked this appointment to be  - % Can't remember
Q101_1pct,How did you try to book the appointment - % In person
Q101_2pct,"How did you try to book the appointment - % By phone, through my practice"
Q101_3pct,How did you try to book the appointment - % By automated telephone booking
Q101_4pct,"How did you try to book the appointment - % Online, including on a website or through an app"
Q101_5pct,How did you try to book the appointment - % In another way
Q102_1pct,"Were you asked for any information about your reasons for making the appointment - % Yes, during a phone call with a receptionist (base excluding 'Don’t know / can’t remember')"
Q102_2pct,"Were you asked for any information about your reasons for making the appointment - % Yes, during a phone call with a healthcare professional (base excluding 'Don’t know / can’t remember')"
Q102_3pct,"Were you asked for any information about your reasons for making the appointment - % Yes, in an online form (base excluding 'Don’t know / can’t remember')"
Q102_4pct,"Were you asked for any information about your reasons for making the appointment - % Yes, by email (base excluding 'Don’t know / can’t remember')"
Q102_5pct,"Were you asked for any information about your reasons for making the appointment - % Yes, during a phone call with someone else / not sure who I spoke to (base excluding 'Don’t know / can’t remember')"
Q102_6pct,Were you asked for any information about your reasons for making the appointment - % I was not asked for information (base excluding 'Don’t know / can’t remember')
Q102_7pct,Were you asked for any information about your reasons for making the appointment - % Don't know / can't remember
Q102_12345pct,"Were you asked for any information about your reasons for making the appointment  - % Summary result - Yes (Combined 'Yes' answer codes 1, 2, 3, 4, and 5, to be used with base excluding 'Don’t know / can’t remember')"
Q103_1pct,"Whether offered a choice of appointment - % Yes, a choice of place (for an appointment in person)  (base excluding 'can't remember' and 'I did not need a choice')"
Q103_2pct,"Whether offered a choice of appointment - % Yes, a choice of time or day (base excluding 'can't remember' and 'I did not need a choice')"
Q103_3pct,"Whether offered a choice of appointment - % Yes, a choice of healthcare professional (base excluding 'can't remember' and 'I did not need a choice')"
Q103_4pct,"Whether offered a choice of appointment - % Yes, a choice of type of appointment (phone call, online, video call, in person) (base excluding 'can't remember' and 'I did not need a choice')"
Q103_5pct,Whether offered a choice of appointment - % None of these (base excluding 'can't remember' and 'I did not need a choice')
Q103_6pct,Whether offered a choice of appointment - % Can't remember
Q103_7pct,Whether offered a choice of appointment - %  I did not need a choice
Q103_1234pct,"Whether offered a choice of appointment- Summary result - % Yes (Combined 'yes' answer codes 1, 2, 3 and 4), to be used with base excluding 'can't remember' and 'I did not need a choice')"
Q104_1pct,"Satisfaction with type of appointment offered - % Yes, and I accepted an appointment (base excluding ' I was not offered an appointment')"
Q104_2pct,"Satisfaction with type of appointment offered - % No, but I still took an appointment (base excluding ' I was not offered an appointment')"
Q104_3pct,"Satisfaction with type of appointment offered - % No, and I did not take an appointment (base excluding ' I was not offered an appointment')"
Q104_4pct,Satisfaction with type of appointment offered - % I was not offered an appointment
Q104_12pct,"Satisfaction with type of appointment offered - % Summary result - Accepted appointment (Combined 'yes, and I accepted an appointment' and 'no, but I still took an appointment' responses, to be used with base excluding ' I was not offered an appointment')"
Q105_1pct,Reason for not taking appointments offered - % There weren't any appointments available for the time or day I wanted
Q105_2pct,Reason for not taking appointments offered - % The appointment was at too short notice
Q105_3pct,Reason for not taking appointments offered - % The appointment wasn't soon enough
Q105_4pct,Reason for not taking appointments offered - % I couldn't book ahead at my GP practice
Q105_5pct,Reason for not taking appointments offered - % There weren't any appointments at the place I wanted
Q105_6pct,Reason for not taking appointments offered - % The appointment was too far away / too difficult to get to
Q105_7pct,Reason for not taking appointments offered - % I couldn't see my preferred GP
Q105_8pct,Reason for not taking appointments offered - % There weren't any appointments with the healthcare professional I wanted
Q105_9pct,Reason for not taking appointments offered - % The type of appointment I wanted was not available
Q105_10pct,Reason for not taking appointments offered - % I was not offered an appointment
Q105_11pct,Reason for not taking appointments offered - % My practice helped in another way
Q105_12pct,Reason for not taking appointments offered - % Another reason
Q106_1pct,Action after not accepting appointment offered - % Got an appointment for a different day
Q106_2pct,"Action after not accepting appointment offered - % Called an NHS helpline, such as NHS 111"
Q106_3pct,Action after not accepting appointment offered - % Used an online NHS service (including NHS 111 online)
Q106_4pct,"Action after not accepting appointment offered - % Used a non-NHS online service, or looked online for information"
Q106_5pct,Action after not accepting appointment offered - % Went to A&E
Q106_6pct,Action after not accepting appointment offered - % Spoke to a pharmacist
Q106_7pct,Action after not accepting appointment offered - % Contacted or used another NHS service
Q106_8pct,Action after not accepting appointment offered - % Contacted or used another non-NHS service
Q106_9pct,Action after not accepting appointment offered - % Decided to contact my practice another time
Q106_13pct,Action after not accepting appointment offered - % Looked for information online (asked of online respondents only)
Q106_10pct,Action after not accepting appointment offered - % Spoke to a friend or family member
Q106_11pct,Action after not accepting appointment offered - % My practice helped in another way
Q106_12pct,Action after not accepting appointment offered - % Didn't see or speak to anyone
Q106_Onlinepct,"Action after not accepting appointment offered - % Summary result - Used an online service or looked for information online (Combined online answer codes 3, 4 and 13), to be used with total base."
Q13_NEW_1pct,What type of appointment did you get - % To speak to someone on the phone
Q13_NEW_2pct,What type of appointment did you get - % To see someone at my GP practice
Q13_NEW_3pct,What type of appointment did you get - % To see someone at another general practice location
Q13_NEW_4pct,"What type of appointment did you get - % To speak to someone online, for example on a video call"
Q13_NEW_5pct,What type of appointment did you get - % For a home visit
Q13_NEW_14pct,"What type of appointment did you get - % Summary result - Remote appointment (Combined 'to speak to someone on the phone' and 'to speak to someone online, for example on a video call' responses, to be used with total base)"
Q13_NEW_235pct,"What type of appointment did you get - % Summary result - In-person appointment (Combined 'to see someone at my GP practice' and 'to see someone at another general practice location' and 'for a home visit' responses, to be used with total base)"
Q14_1pct,How long until the appointment took place - % On the same day
Q14_2pct,How long until the appointment took place - % On the next day
Q14_3pct,How long until the appointment took place - % A few days later
Q14_4pct,How long until the appointment took place - % A week or more later
Q14_5pct,How long until the appointment took place - % Can't remember
Q18_1pct,Overall experience of making an appointment - % Very good
Q18_2pct,Overall experience of making an appointment - % Fairly good
Q18_3pct,Overall experience of making an appointment - % Neither good nor poor
Q18_4pct,Overall experience of making an appointment - % Fairly poor
Q18_5pct,Overall experience of making an appointment - % Very poor
Q18_12pct,"Overall experience of making an appointment - % Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with base for total base)"
Q83_1pct,When last general practice appointment - % In the past 3 months
Q83_2pct,When last general practice appointment - % Between 3 and 6 months ago
Q83_3pct,When last general practice appointment - % Between 6 and 12 months ago
Q83_4pct,When last general practice appointment - % More than 12 months ago
Q83_5pct,When last general practice appointment - % I haven't had an appointment since being registered with my current GP practice
Q83_12pct,"When last general practice appointment - % Summary result - In the past 6 months (Combined 'in the past 3 months' and 'between 3 and 6 months ago' responses, to be used with total base)"
Q107_1pct,What type of appointment was your last general practice appointment - % To speak to someone on the phone
Q107_2pct,What type of appointment was your last general practice appointment - % To see someone at my GP practice
Q107_3pct,What type of appointment was your last general practice appointment - % To see someone at another general practice location
Q107_4pct,What type of appointment was your last general practice appointment - % To speak to someone online (for example on a video call)
Q107_5pct,What type of appointment was your last general practice appointment - % For a home visit
Q107_14pct,"What type of appointment was your last general practice appointment - % Summary result - Remote appointment (Combined 'to speak to someone on the phone' and 'to speak to someone online (for example on a video call)' responses, to be used with total base)"
Q107_235pct,What type of appointment was your last general practice appointment - % Summary result - In-person appointment (Combined 'to see someone at my GP practice' and 'to see someone at another general practice location' and 'for a home visit' responses)
Q108_1pct,"Were you given a time for the appointment - % Yes, I was given a set time (base excluding 'can't remember/don't know')"
Q108_2pct,Were you given a time for the appointment - % I was told I would be contacted between two times or during a set period such as a morning or afternoon (base excluding 'can't remember/don't know')
Q108_3pct,"Were you given a time for the appointment - % No, I was not given a time (base excluding 'can't remember/don't know')"
Q108_4pct,Were you given a time for the appointment - % Can't remember / don't know
Q108_12pct,"Were you given a time for the appointment - % Summary result - Yes  (Combined answer codes 1 and 2, to be used with base excluding 'can't remember/don't know')"
Q84_1pct,Who last general practice appointment with - % A GP
Q84_2pct,Who last general practice appointment with - % A nurse
Q84_3pct,Who last general practice appointment with - % A general practice pharmacist
Q84_4pct,Who last general practice appointment with - % A mental health professional
Q84_5pct,Who last general practice appointment with - % Another healthcare professional
Q84_6pct,Who last general practice appointment with - % Don't know / not sure who I saw
Q86a_1pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - % Very good (base excluding 'doesn't apply')"
Q86a_2pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - % Good (base excluding 'doesn't apply')"
Q86a_3pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - % Neither good nor poor (base excluding 'doesn't apply')"
Q86a_4pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - % Poor (base excluding 'doesn't apply')"
Q86a_5pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - % Very poor (base excluding 'doesn't apply')"
Q86a_6pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - % Doesn't apply"
Q86a_12pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - % Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with base excluding 'doesn't apply')"
Q86b_1pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - % Very good (base excluding 'doesn't apply')"
Q86b_2pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - % Good (base excluding 'doesn't apply')"
Q86b_3pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - % Neither good nor poor (base excluding 'doesn't apply')"
Q86b_4pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - % Poor (base excluding 'doesn't apply')"
Q86b_5pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - % Very poor (base excluding 'doesn't apply')"
Q86b_6pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - % Doesn't apply"
Q86b_12pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - % Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with base excluding 'doesn't apply')"
Q86e_1pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - % Very good (base excluding 'doesn't apply')"
Q86e_2pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - % Good (base excluding 'doesn't apply')"
Q86e_3pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - % Neither good nor poor (base excluding 'doesn't apply')"
Q86e_4pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - % Poor (base excluding 'doesn't apply')"
Q86e_5pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - % Very poor (base excluding 'doesn't apply')"
Q86e_6pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - % Doesn't apply"
Q86e_12pct,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - % Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with base excluding 'doesn't apply')"
Q87_1pct,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - % Yes, definitely (base excluding codes 4 and 5)"
Q87_2pct,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - % Yes, to some extent (base excluding codes 4 and 5)"
Q87_3pct,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - % No, not at all (base excluding codes 4 and 5)"
Q87_4pct,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - % I did not have any mental health needs"
Q87_5pct,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - % Did not apply to my last appointment"
Q87_12pct,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - Summary result - % Yes (Combined 'Yes, definitely' and 'Yes, to some extent' responses, to be used with base excluding codes 4 and 5)"
Q88_1pct,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - % Yes, definitely (base excluding code 4)"
Q88_2pct,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - % Yes, to some extent (base excluding code 4)"
Q88_3pct,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - % No, not at all (base excluding code 4)"
Q88_4pct,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - % Don't know / doesn't apply"
Q88_12pct,"During last general practice appointment, involved as much as wanted to be in decisions about care and treatment - % Summary result - Yes (Combined 'yes, definitely' and 'yes, to some extent' responses, to be used with base excluding code 4)"
