Variable,Description
Q52_2,Can take time away from work to see GP - No
Q53base,Parent or legal guardian - total responses
Q53_1,Parent or legal guardian - Yes
Q53_2,Parent or legal guardian - No
Q54base,Deaf and use sign language - total responses
Q54_1,Deaf and use sign language - Yes
Q54_2,Deaf and use sign language - No
Q55base,Smoking habits - total responses
Q55_1,Smoking habits - Never smoked
Q55_2,Smoking habits - Former smoker
Q55_3,Smoking habits - Occasional smoker
Q55_4,Smoking habits - Regular smoker
Q56base,Look after/provide support to family etc. for physical or mental ill health/problems in old age - total responses
Q56_1,Look after/provide support to family etc. for physical or mental ill health/problems in old age - No
Q56_2,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 1-9 hours a week"
Q56_3,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 10-19 hours a week"
Q56_4,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 20-34 hours a week"
Q56_5,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 35-49 hours a week"
Q56_6,"Look after/provide support to family etc. for physical or mental ill health/problems in old age - Yes, 50+ hours a week"
Q57base,Sexual orientation - total responses
Q57_1,Sexual orientation - Heterosexual / straight
Q57_2,Sexual orientation - Gay / Lesbian
Q57_3,Sexual orientation - Bisexual
Q57_4,Sexual orientation - Other
Q57_5,Sexual orientation - I would prefer not to say
Q58base,Religion - total responses
Q58_1,Religion - No religion
Q58_2,Religion - Buddhist
Q58_3,Religion - Christian
Q58_4,Religion - Hindu
Q58_5,Religion - Jewish
Q58_6,Religion - Muslim
Q58_7,Religion - Sikh
Q58_8,Religion - Other
Q58_9,Religion - I would prefer not to say
Q1_1pct,Last seen or spoke to a GP - % In the past 3 months
Q1_2pct,Last seen or spoke to a GP - % Between 3 and 6 months ago
Q1_3pct,Last seen or spoke to a GP - % Between 6 and 12 months ago
Q1_4pct,Last seen or spoke to a GP - % More than 12 months ago
Q1_5pct,Last seen or spoke to a GP - % I have never seen a GP from my GP surgery
Q1_12pct,Last seen or spoke to a GP - % In the past 6 months
Q2_1pct,Last seen or spoke to a nurse - % In the past 3 months
Q2_2pct,Last seen or spoke to a nurse - % Between 3 and 6 months
Q2_3pct,Last seen or spoke to a nurse - % Between 6 and 12 months
Q2_4pct,Last seen or spoke to a nurse - % More than 12 months ago
Q2_5pct,Last seen or spoke to a nurse - % I have never seen a GP from my GP surgery
Q2_12pct,Last seen or spoke to a nurse - % In the past 6 months
Q3_1pct,Ease of getting through to someone at GP surgery on the phone - % Very easy
Q3_2pct,Ease of getting through to someone at GP surgery on the phone - % Fairly easy
Q3_3pct,Ease of getting through to someone at GP surgery on the phone - % Not very easy
Q3_4pct,Ease of getting through to someone at GP surgery on the phone - % Not at all easy
Q3_5pct,Ease of getting through to someone at GP surgery on the phone - % Haven't tried
Q3_12pct,Ease of getting through to someone at GP surgery on the phone - % Easy (total)
Q4_1pct,Helpfulness of receptionists at GP surgery - % Very helpful
Q4_2pct,Helpfulness of receptionists at GP surgery - % Fairly helpful
Q4_3pct,Helpfulness of receptionists at GP surgery - % Not very helpful
Q4_4pct,Helpfulness of receptionists at GP surgery - % Not at all helpful
